frame,stage,step,tau,sigma_tau,gamma2,s2,h_range,h_ker,h_over_sigma,h2_over_sigma2,inv_s2_prior,prec_prior_range,prec_prior_ker,prec_data_max,data_over_prior
14,1,4,0.444,0.6985714285714286,0.011795909143984318,0.04718059426719991,0.30142857142857143,0.222,0.4314928425357873,0.18618607315961375,21.19515482015035,21.381340893309964,21.296146201083015,6259.245300292968,292.7433471794761
15,1,5,0.555,0.6589285714285714,0.011530348099768162,0.04718059426719991,0.3410714285714286,0.2775,0.5176151761517616,0.2679254705826191,21.19515482015035,21.463080290732968,21.372512213236476,6259.245300292968,291.6284715663808
16,1,6,0.666,0.6192857142857142,0.011259624734520912,0.04718059426719991,0.3807142857142857,0.333,0.6147635524798155,0.37793422545760286,21.19515482015035,21.573089045607954,21.484293599618987,6259.245300292968,290.141355605598
17,1,7,0.777,0.5796428571428571,0.010943361558020115,0.04718059426719991,0.4203571428571429,0.3885,0.7252002464571781,0.5259153974615518,21.19515482015035,21.721070217611903,21.64437687419554,6259.245300292968,288.1646823837363
18,1,8,0.888,0.54,0.010707459412515163,0.04718059426719991,0.46,0.444,0.8518518518518519,0.7256515775034293,21.19515482015035,21.92080639765378,21.871204202866398,6259.244918823241,285.53899000235583
19,1,9,0.999,0.5003571428571428,0.010580291040241718,0.04718059426719991,0.49964285714285717,0.4995,0.9985724482512492,0.9971469344064938,21.19515482015035,22.192301754556844,22.191731630535102,6259.244918823241,282.0457737124092
20,2,0,0.0,0.6666666666666667,0.011577649042010307,0.05210772396874556,0.3333333333333333,0.0,0.49999999999999994,0.24999999999999994,19.191012844848192,19.441012844848192,19.191012844848192,1560.6915473937986,80.27830442010006
21,2,1,0.111,0.6204166666666668,0.011458246037364006,0.05210772396874556,0.37958333333333333,0.08325,0.6118200134318332,0.3743237288357286,19.191012844848192,19.565336573683922,19.209018195029802,1560.6916427612302,79.7681980518759
22,2,2,0.222,0.5741666666666667,0.011648545041680336,0.05210772396874556,0.4258333333333333,0.1665,0.7416545718432509,0.5500515039359959,19.191012844848192,19.74106434878419,19.275104427061745,1560.6915473937986,79.05812573322159
23,2,3,0.333,0.5279166666666668,0.011883500963449478,0.05210772396874556,0.47208333333333335,0.24975000000000003,0.8942383583267559,0.7996622415029316,19.191012844848192,19.990675086351125,19.414823236621885,1560.6915473937986,78.07097762593219
24,2,4,0.444,0.48166666666666674,0.01197701133787632,0.05210772396874556,0.5183333333333333,0.333,1.0761245674740483,1.1580440847212072,19.191012844848192,20.3490569295694,19.6689769496841,1560.6916427612302,76.69601830507314
25,2,5,0.555,0.4354166666666667,0.012359649874269962,0.05210772396874556,0.5645833333333333,0.41625,1.2966507177033493,1.6813030837206107,19.191012844848192,20.872315928568803,20.10491225191305,1560.6916427612302,74.77328572940232
26,2,6,0.666,0.38916666666666666,0.012831875123083591,0.05210772396874556,0.6108333333333333,0.49950000000000006,1.569593147751606,2.4636226494687947,19.191012844848192,21.654635494316988,20.838415327320945,1560.6916427612302,72.07194243333332
27,2,7,0.777,0.34291666666666665,0.013585136272013187,0.05210772396874556,0.6570833333333334,0.58275,1.9161603888213854,3.671670635688123,19.191012844848192,22.862683480536315,22.078947600336292,1560.6915473937986,68.2637079204837
28,2,8,0.888,0.2966666666666667,0.014856654219329357,0.05210772396874556,0.7033333333333334,0.666,2.3707865168539324,5.620628708496401,19.191012844848192,24.811641553344593,24.23078560081335,1560.6916427612302,62.90158752317015
