stage,step,tau,sigma_tau,mse_x1,task,image,method
1,8,0.888,nan,1526504832.0,box_inpainting,ibex_horns,wls
1,9,0.999,nan,9434269696.0,box_inpainting,ibex_horns,wls
2,0,0.0,nan,3804605184.0,box_inpainting,ibex_horns,wls
2,1,0.111,nan,5458977280.0,box_inpainting,ibex_horns,wls
2,2,0.222,nan,8126221312.0,box_inpainting,ibex_horns,wls
2,3,0.333,nan,12482033664.0,box_inpainting,ibex_horns,wls
2,4,0.444,nan,19656335360.0,box_inpainting,ibex_horns,wls
2,5,0.555,nan,31507509248.0,box_inpainting,ibex_horns,wls
2,6,0.666,nan,51015434240.0,box_inpainting,ibex_horns,wls
2,7,0.777,nan,82796478464.0,box_inpainting,ibex_horns,wls
2,8,0.888,nan,133707268096.0,box_inpainting,ibex_horns,wls
2,9,0.999,nan,213506965504.0,box_inpainting,ibex_horns,wls
3,0,0.0,nan,119872241664.0,box_inpainting,ibex_horns,wls
3,1,0.111,nan,119377739776.0,box_inpainting,ibex_horns,wls
3,2,0.222,nan,118801457152.0,box_inpainting,ibex_horns,wls
3,3,0.333,nan,118107889664.0,box_inpainting,ibex_horns,wls
3,4,0.444,nan,117264498688.0,box_inpainting,ibex_horns,wls
3,5,0.555,nan,116243955712.0,box_inpainting,ibex_horns,wls
3,6,0.666,nan,115028213760.0,box_inpainting,ibex_horns,wls
3,7,0.777,nan,113624203264.0,box_inpainting,ibex_horns,wls
3,8,0.888,nan,112195321856.0,box_inpainting,ibex_horns,wls
3,9,0.999,nan,112195133440.0,box_inpainting,ibex_horns,wls
0,0,0.0,nan,0.05073217302560806,box_inpainting,ibex_horns,model
0,1,0.111,nan,0.05103236436843872,box_inpainting,ibex_horns,model
0,2,0.222,nan,0.05568906292319298,box_inpainting,ibex_horns,model
0,3,0.333,nan,0.0589972659945488,box_inpainting,ibex_horns,model
0,4,0.444,nan,0.0605398528277874,box_inpainting,ibex_horns,model
0,5,0.555,nan,0.06137501448392868,box_inpainting,ibex_horns,model
0,6,0.666,nan,0.060489267110824585,box_inpainting,ibex_horns,model
0,7,0.777,nan,0.05938823148608208,box_inpainting,ibex_horns,model
0,8,0.888,nan,0.05308835953474045,box_inpainting,ibex_horns,model
0,9,0.999,nan,0.04782811552286148,box_inpainting,ibex_horns,model
1,0,0.0,nan,0.06985438615083694,box_inpainting,ibex_horns,model
