image,stage,step,task,tau,T,e_k,gamma2_meas,mse_alg2,mse_alg2_miss,mse_alg2_obs,mse_model,mse_model_miss,mse_model_obs,mse_wls,mse_wls_miss,mse_wls_obs,resolution,s_k,score_err,score_err_g2,sigma_tau
breastplate_armor,0,1,motion_blur,0.111,19.425,0.25,0.010642001405358315,0.028878159821033478,,,0.1632615625858307,,,7.703585624694824,,,32,0.0,0.0001330006925854832,0.0001328944490524009,0.9722500000000001
crane_structure,0,1,motion_blur,0.111,19.425,0.25,0.010642001405358315,0.07730604708194733,,,0.33698534965515137,,,8.215892791748047,,,32,0.0,0.0002745245292317122,0.00027460124692879617,0.9722500000000001
ibex_horns,0,1,motion_blur,0.111,19.425,0.25,0.010642001405358315,0.10621927678585052,,,0.14209195971488953,,,7.482133865356445,,,32,0.0,0.00011575495591387153,0.00011578717385418713,0.9722500000000001
junco,0,1,motion_blur,0.111,19.425,0.25,0.010642001405358315,0.049996402114629745,,,0.04242005944252014,,,7.369765281677246,,,32,0.0,3.455743717495352e-05,3.4620090445969254e-05,0.9722500000000001
lakeside_beach,0,1,motion_blur,0.111,19.425,0.25,0.010642001405358315,0.02029973641037941,,,0.09246160835027695,,,7.916192054748535,,,32,0.0,7.532369636464864e-05,7.543127867393196e-05,0.9722500000000001
sea_anemone,0,1,motion_blur,0.111,19.425,0.25,0.010642001405358315,0.026171183213591576,,,0.22469750046730042,,,7.931208610534668,,,32,0.0,0.0001830494002206251,0.00018301059026271105,0.9722500000000001
shetland_sheepdog,0,1,motion_blur,0.111,19.425,0.25,0.010642001405358315,0.032683148980140686,,,0.12475323677062988,,,8.02775764465332,,,32,0.0,0.00010163000843022019,0.00010167551226913929,0.9722500000000001
breastplate_armor,0,1,superresolution,0.111,19.425,0.25,0.010642001405358315,0.0058055780827999115,,,0.1632615625858307,,,7.703585624694824,,,32,0.0,0.0001330006925854832,0.0001328944490524009,0.9722500000000001
crane_structure,0,1,superresolution,0.111,19.425,0.25,0.010642001405358315,0.017347728833556175,,,0.33698534965515137,,,8.215892791748047,,,32,0.0,0.0002745245292317122,0.00027460124692879617,0.9722500000000001
ibex_horns,0,1,superresolution,0.111,19.425,0.25,0.010642001405358315,0.025311855599284172,,,0.14209195971488953,,,7.482133865356445,,,32,0.0,0.00011575495591387153,0.00011578717385418713,0.9722500000000001
junco,0,1,superresolution,0.111,19.425,0.25,0.010642001405358315,0.01120029203593731,,,0.04242005944252014,,,7.369765281677246,,,32,0.0,3.455743717495352e-05,3.4620090445969254e-05,0.9722500000000001
