task,image,stage,step,tau,T,sigma_tau,s_k,e_k,resolution,mse_wls,mse_model
box_inpainting,lakeside_beach,1,0,0.0,175.0,0.8571428571428572,0.14285714285714285,0.5,64,1.0823100805282593,0.029035424813628197
box_inpainting,sea_anemone,1,0,0.0,175.0,0.8571428571428572,0.14285714285714285,0.5,64,1.1330815553665161,0.0748717188835144
box_inpainting,shetland_sheepdog,1,0,0.0,175.0,0.8571428571428572,0.14285714285714285,0.5,64,1.1066325902938843,0.07960991561412811
box_inpainting,breastplate_armor,1,1,0.111,202.861,0.8175000000000001,0.14285714285714285,0.5,64,1.1100901365280151,0.03690209984779358
box_inpainting,crane_structure,1,1,0.111,202.861,0.8175000000000001,0.14285714285714285,0.5,64,1.1296610832214355,0.0665334016084671
box_inpainting,ibex_horns,1,1,0.111,202.861,0.8175000000000001,0.14285714285714285,0.5,64,1.182264804840088,0.13026165962219238
box_inpainting,junco,1,1,0.111,202.861,0.8175000000000001,0.14285714285714285,0.5,64,1.0956265926361084,0.045492708683013916
box_inpainting,lakeside_beach,1,1,0.111,202.861,0.8175000000000001,0.14285714285714285,0.5,64,1.0791702270507812,0.022070562466979027
box_inpainting,sea_anemone,1,1,0.111,202.861,0.8175000000000001,0.14285714285714285,0.5,64,1.1217297315597534,0.06527683883905411
box_inpainting,shetland_sheepdog,1,1,0.111,202.861,0.8175000000000001,0.14285714285714285,0.5,64,1.0960419178009033,0.06663930416107178
box_inpainting,breastplate_armor,1,2,0.222,230.722,0.7778571428571429,0.14285714285714285,0.5,64,1.1012091636657715,0.03175896406173706
box_inpainting,crane_structure,1,2,0.222,230.722,0.7778571428571429,0.14285714285714285,0.5,64,1.1145422458648682,0.05907510966062546
box_inpainting,ibex_horns,1,2,0.222,230.722,0.7778571428571429,0.14285714285714285,0.5,64,1.159517526626587,0.11451241374015808
box_inpainting,junco,1,2,0.222,230.722,0.7778571428571429,0.14285714285714285,0.5,64,1.0879496335983276,0.043075934052467346
box_inpainting,lakeside_beach,1,2,0.222,230.722,0.7778571428571429,0.14285714285714285,0.5,64,1.0719765424728394,0.01783955655992031
box_inpainting,sea_anemone,1,2,0.222,230.722,0.7778571428571429,0.14285714285714285,0.5,64,1.1084694862365723,0.05708281323313713
box_inpainting,shetland_sheepdog,1,2,0.222,230.722,0.7778571428571429,0.14285714285714285,0.5,64,1.0808088779449463,0.05405095964670181
box_inpainting,breastplate_armor,1,3,0.333,258.583,0.7382142857142858,0.14285714285714285,0.5,64,1.096204400062561,0.027837282046675682
box_inpainting,crane_structure,1,3,0.333,258.583,0.7382142857142858,0.14285714285714285,0.5,64,1.1017494201660156,0.05153101682662964
box_inpainting,ibex_horns,1,3,0.333,258.583,0.7382142857142858,0.14285714285714285,0.5,64,1.141448974609375,0.10067585110664368
box_inpainting,junco,1,3,0.333,258.583,0.7382142857142858,0.14285714285714285,0.5,64,1.081911325454712,0.0393955372273922
box_inpainting,lakeside_beach,1,3,0.333,258.583,0.7382142857142858,0.14285714285714285,0.5,64,1.0683212280273438,0.015385184437036514
box_inpainting,sea_anemone,1,3,0.333,258.583,0.7382142857142858,0.14285714285714285,0.5,64,1.1002395153045654,0.04986264556646347
box_inpainting,shetland_sheepdog,1,3,0.333,258.583,0.7382142857142858,0.14285714285714285,0.5,64,1.070206642150879,0.0436747670173645
box_inpainting,breastplate_armor,1,4,0.444,286.444,0.6985714285714286,0.14285714285714285,0.5,64,1.0910944938659668,0.024435702711343765
