rank_balanced,name,source,psnr,psnr_unobs,ssim,lpips,hf,dhf,balanced_score,time_sec,kw
56,B_he_inc,larger_box_initial,18.572,12.552,0.8409,0.1703,0.6237,0.0790,0.1848,300,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.001, 0.002, 0.005, 0.01], ""num_langevin"": 10}"
57,I_ref_F1,exploration,20.759,14.738,0.8558,0.1736,0.6229,0.0741,0.1857,286,"{""h_x"": 0.1, ""h_epsilon"": 0.01, ""num_langevin"": 10, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
58,N_n03_lr100,exploration,17.615,11.594,0.7868,0.1693,0.5846,0.0838,0.1862,154,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 100.0, ""noise_scale"": 0.3, ""terminal_replace_weight"": 1.0}"
59,N_lr100_hx1,exploration,17.734,11.713,0.8217,0.1547,0.5812,0.1166,0.1880,152,"{""h_x"": [0.1, 0.1, 0.1, 1.0], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 100.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
60,J_dps_all5,exploration,17.322,11.301,0.8073,0.1713,0.5754,0.0839,0.1883,166,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""dps_kick_zeta"": 5.0}"
61,E_N03_C5,exploration,17.110,11.089,0.7781,0.1759,0.5902,0.0750,0.1885,149,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.3, ""terminal_replace_weight"": 1.0}"
62,N_lp01_n01,exploration,17.753,11.732,0.8137,0.1599,0.5886,0.1092,0.1895,150,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0, ""lambda_prox"": 0.1}"
63,N_lr200_hxlo,exploration,17.798,11.778,0.8191,0.1523,0.5714,0.1264,0.1905,128,"{""h_x"": [0.1, 0.1, 0.1, 0.4], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 200.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
64,L_no_bypass,exploration,17.453,11.432,0.8115,0.1725,0.5715,0.0878,0.1914,162,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""g_bypass_stage3"": false}"
65,A_he1e-4,larger_box_initial,15.994,9.973,0.8022,0.1733,0.6747,0.0330,0.1934,275,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.0001, ""num_langevin"": 10}"
66,C_L3,larger_box_initial,18.128,12.107,0.8149,0.1593,0.5660,0.1194,0.1940,101,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 3}"
67,A_he5e-5,larger_box_initial,15.872,9.852,0.8003,0.1735,0.6755,0.0322,0.1961,294,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 5e-05, ""num_langevin"": 10}"
68,A_he1e-5,larger_box_initial,15.787,9.766,0.7991,0.1732,0.6761,0.0315,0.1974,285,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 1e-05, ""num_langevin"": 10}"
69,C_L30,larger_box_initial,18.198,12.177,0.8253,0.1804,0.7799,0.0938,0.2023,800,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 30}"
70,D_L_rampup,larger_box_initial,17.040,11.019,0.8351,0.1655,0.7853,0.1449,0.2130,400,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": [3, 5, 10, 20]}"
71,N_obs_lo,exploration,18.359,12.338,0.8213,0.1687,0.5575,0.1403,0.2139,151,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_x_obs_ratio"": 0.5}"
72,A_he5e-2,larger_box_initial,19.994,13.974,0.8485,0.2022,0.5950,0.0896,0.2220,285,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.05, ""num_langevin"": 10}"
73,A_he1e-1,larger_box_initial,19.103,13.082,0.8142,0.2078,0.7788,0.0943,0.2299,258,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.1, ""num_langevin"": 10}"
74,D_L_focuss3,larger_box_initial,16.821,10.800,0.8329,0.1655,0.8223,0.1819,0.2350,516,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": [5, 5, 5, 30]}"
75,C_L1,larger_box_initial,17.661,11.641,0.7985,0.2032,0.5405,0.1448,0.2506,50,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 1}"
76,D_L_s3max,larger_box_initial,15.707,9.686,0.8349,0.1496,0.8694,0.2290,0.2649,569,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": [10, 10, 10, 30]}"
77,L_no_warm,exploration,14.028,8.007,0.7474,0.2499,0.7539,0.0946,0.3316,132,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""warm_restart"": false}"
