frame,stage,step,tau,sigma_tau,gamma2,s2,h_range,h_ker,H_is_scalar,h_over_sigma,h2_over_sigma2,inv_s2_prior,prec_prior_range,prec_prior_ker,prec_data_max,data_over_prior
10,1,0,0.0,0.8571428571428572,0.013227979652583599,0.21108518838244975,0.14285714285714285,0.0,0,0.16666666666666666,0.027777777777777773,4.737423822405642,4.76520160018342,4.737423822405642,6259.245681762694,1313.5321874990068
11,1,1,0.111,0.8175000000000001,0.012689127586781979,0.21108518838244975,0.1825,0.0555,0,0.22324159021406725,0.049836807601305516,4.737423822405642,4.787260630006948,4.742032862048769,6259.245300292968,1307.479534550406
12,1,2,0.222,0.7778571428571429,0.012317526154220104,0.21108518838244975,0.22214285714285714,0.111,0,0.2855831037649219,0.08155770915600617,4.737423822405642,4.818981531561648,4.757787033783129,6259.245300292968,1298.8730625544824
13,1,3,0.333,0.7382142857142858,0.012009454891085625,0.21108518838244975,0.2617857142857143,0.1665,0,0.3546202225447508,0.12575550223768858,4.737423822405642,4.863179324643331,4.788294038806433,6259.245300292968,1287.0685784863642
14,1,4,0.444,0.6985714285714286,0.011795909143984318,0.21108518838244975,0.30142857142857143,0.222,0,0.4314928425357873,0.18618607315961375,4.737423822405642,4.923609895565256,4.838415203338307,6259.245300292968,1271.2715737147926
15,1,5,0.555,0.6589285714285714,0.011530348099768162,0.21108518838244975,0.3410714285714286,0.2775,0,0.5176151761517616,0.2679254705826191,4.737423822405642,5.005349292988261,4.914781215491768,6259.244918823241,1250.5111136981986
16,1,6,0.666,0.6192857142857142,0.011259624734520912,0.21108518838244975,0.3807142857142857,0.333,0,0.6147635524798155,0.37793422545760286,4.737423822405642,5.1153580478632446,5.026562601874279,6259.245300292968,1223.618218260898
17,1,7,0.777,0.5796428571428571,0.010943361558020115,0.21108518838244975,0.4203571428571429,0.3885,0,0.7252002464571781,0.5259153974615518,4.737423822405642,5.263339219867194,5.186645876450831,6259.244918823241,1189.215563989656
18,1,8,0.888,0.54,0.010707459412515163,0.21108518838244975,0.46,0.444,0,0.8518518518518519,0.7256515775034293,4.737423822405642,5.463075399909071,5.413473205121691,6259.245300292968,1145.736575482218
19,1,9,0.999,0.5003571428571428,0.010580291040241718,0.21108518838244975,0.49964285714285717,0.4995,0,0.9985724482512492,0.9971469344064938,4.737423822405642,5.734570756812136,5.734000632790393,6259.245300292968,1091.4932548103216
20,2,0,0.0,0.6666666666666667,0.011577649042010307,0.2203612135091675,0.3333333333333333,0.0,0,0.49999999999999994,0.24999999999999994,4.538003689829916,4.788003689829916,4.538003689829916,1560.6915473937986,325.9587186009957
21,2,1,0.111,0.6204166666666668,0.011458246037364006,0.2203612135091675,0.37958333333333333,0.08325,0,0.6118200134318332,0.3743237288357286,4.538003689829916,4.912327418665644,4.556009040011525,1560.6915473937986,317.7091863753935
22,2,2,0.222,0.5741666666666667,0.011648545041680336,0.2203612135091675,0.4258333333333333,0.1665,0,0.7416545718432509,0.5500515039359959,4.538003689829916,5.0880551937659115,4.6220952720434685,1560.6915473937986,306.7363634942522
23,2,3,0.333,0.5279166666666668,0.011883500963449478,0.2203612135091675,0.47208333333333335,0.24975000000000003,0,0.8942383583267559,0.7996622415029316,4.538003689829916,5.337665931332848,4.7618140816036085,1560.6915473937986,292.39213683874823
24,2,4,0.444,0.48166666666666674,0.01197701133787632,0.2203612135091675,0.5183333333333333,0.333,0,1.0761245674740483,1.1580440847212072,4.538003689829916,5.696047774551123,5.015967794665825,1560.6915473937986,273.99551569189373
25,2,5,0.555,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,0.41625,0,1.2966507177033493,1.6813030837206107,4.538003689829916,6.219306773550526,5.451903096894772,1560.6915473937986,250.94300767267328
26,2,6,0.666,0.38916666666666666,0.012831875123083591,0.2203612135091675,0.6108333333333333,0.49950000000000006,0,1.569593147751606,2.4636226494687947,4.538003689829916,7.00162633929871,6.1854061723026685,1560.6915473937986,222.90414708850616
27,2,7,0.777,0.34291666666666665,0.013585136272013187,0.2203612135091675,0.6570833333333334,0.58275,0,1.9161603888213854,3.671670635688123,4.538003689829916,8.209674325518039,7.4259384453180175,1560.6915473937986,190.10395364195125
28,2,8,0.888,0.2966666666666667,0.014856654219329357,0.2203612135091675,0.7033333333333334,0.666,0,2.3707865168539324,5.620628708496401,4.538003689829916,10.158632398326317,9.57777644579507,1560.6915473937986,153.632052642335
29,2,9,0.999,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,0.74925,0,2.9933444259567383,8.960110852406276,4.538003689829916,13.498114542236191,13.49014734391725,1560.6915473937986,115.62292959585774
30,3,0,0.0,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,,1,1.5000000000000007,2.2500000000000018,4.382299216599948,6.63229921659995,,399.99999999999994,60.31090982729516
31,3,1,0.111,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,,1,1.8121484814398208,3.2838821187846485,4.382299216599948,7.6661813353845965,,399.99999999999994,52.17721607415288
32,3,2,0.222,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,,1,2.2133676092544996,4.89899617369698,4.382299216599948,9.281295390296929,,399.99999999999994,43.09743232805384
33,3,3,0.333,0.2668,0.01540498249232769,0.22819071692139276,0.7332000000000001,,1,2.7481259370314848,7.552196165785175,4.382299216599948,11.934495382385123,,399.99999999999994,33.516289309591194
34,3,4,0.444,0.22239999999999996,0.016522610560059547,0.22819071692139276,0.7776000000000001,,1,3.4964028776978426,12.224833083173756,4.382299216599948,16.607132299773703,,399.99999999999994,24.086036817172253
35,3,5,0.555,0.17799999999999994,0.01827741414308548,0.22819071692139276,0.8220000000000001,,1,4.61797752808989,21.325716449943208,4.382299216599948,25.708015666543155,,399.99999999999994,15.559349472490274
36,3,6,0.666,0.13359999999999997,0.021496202796697617,0.22819071692139276,0.8664000000000001,,1,6.485029940119762,42.055613324249734,4.382299216599948,46.43791254084968,,399.99999999999994,8.613651607361442
37,3,7,0.777,0.08919999999999997,0.02786899358034134,0.22819071692139276,0.9108,,1,10.210762331838568,104.2596673972934,4.382299216599948,108.64196661389335,,399.99999999999994,3.6818184764785653
38,3,8,0.888,0.044799999999999986,0.044657252728939056,0.22819071692139276,0.9552,,1,21.32142857142858,454.60331632653094,4.382299216599948,458.9856155431309,,399.99999999999994,0.8714870062467391
