image,stage,step,tau,sigma_tau,resolution,mse_wls,mse_model,mse_alg2
junco,2,9,0.999,0.2504166666666667,128,0.11942699551582336,0.003396144136786461,5.4080039262771606e-05
lakeside_beach,2,9,0.999,0.2504166666666667,128,0.11827277392148972,0.002276873216032982,5.339520430425182e-05
sea_anemone,2,9,0.999,0.2504166666666667,128,0.11978992074728012,0.004899537190794945,5.4284813813865185e-05
shetland_sheepdog,2,9,0.999,0.2504166666666667,128,0.11722355335950851,0.005249422043561935,5.3148971346672624e-05
breastplate_armor,3,0,0.0,0.3999999999999999,256,0.010700508020818233,0.01070193387567997,1.388263626722619e-05
crane_structure,3,0,0.0,0.3999999999999999,256,0.010891497135162354,0.01085508894175291,1.3952701920061372e-05
ibex_horns,3,0,0.0,0.3999999999999999,256,0.018656868487596512,0.018851108849048615,1.3916890566179063e-05
junco,3,0,0.0,0.3999999999999999,256,0.005603477358818054,0.005455455742776394,1.3896674317948055e-05
lakeside_beach,3,0,0.0,0.3999999999999999,256,0.004269257187843323,0.004074672237038612,1.386980147799477e-05
sea_anemone,3,0,0.0,0.3999999999999999,256,0.00953856110572815,0.009521909058094025,1.3891646631236654e-05
shetland_sheepdog,3,0,0.0,0.3999999999999999,256,0.006742621771991253,0.006563700735569,1.3954668247606605e-05
breastplate_armor,3,1,0.111,0.3555999999999999,256,0.010165566578507423,0.010115689598023891,2.0158033294137567e-05
crane_structure,3,1,0.111,0.3555999999999999,256,0.011517736129462719,0.011583326384425163,2.0259800294297747e-05
ibex_horns,3,1,0.111,0.3555999999999999,256,0.01579064130783081,0.015883885324001312,2.020778447331395e-05
junco,3,1,0.111,0.3555999999999999,256,0.004726908169686794,0.004571873228996992,2.0178413251414895e-05
lakeside_beach,3,1,0.111,0.3555999999999999,256,0.00437493622303009,0.0042419470846652985,2.013940320466645e-05
sea_anemone,3,1,0.111,0.3555999999999999,256,0.008140461519360542,0.008068043738603592,2.0171093638055027e-05
shetland_sheepdog,3,1,0.111,0.3555999999999999,256,0.0058737448416650295,0.005704901181161404,2.026262882282026e-05
breastplate_armor,3,2,0.222,0.3111999999999999,256,0.009410941042006016,0.009310394525527954,2.983293597935699e-05
crane_structure,3,2,0.222,0.3111999999999999,256,0.014395113103091717,0.014667630195617676,2.9983537388034165e-05
ibex_horns,3,2,0.222,0.3111999999999999,256,0.014851322397589684,0.014773383736610413,2.990656503243372e-05
junco,3,2,0.222,0.3111999999999999,256,0.004077888559550047,0.00390934944152832,2.9863096642657183e-05
lakeside_beach,3,2,0.222,0.3111999999999999,256,0.0038299881853163242,0.0036656351294368505,2.980536373797804e-05
sea_anemone,3,2,0.222,0.3111999999999999,256,0.007181478198617697,0.007062441669404507,2.9852253646822646e-05
shetland_sheepdog,3,2,0.222,0.3111999999999999,256,0.005051927641034126,0.0048581622540950775,2.9987728339619935e-05
breastplate_armor,3,3,0.333,0.2668,256,0.007727627642452717,0.007579510100185871,4.539298970485106e-05
crane_structure,3,3,0.333,0.2668,256,0.010985996574163437,0.011219351552426815,4.5622160541824996e-05
ibex_horns,3,3,0.333,0.2668,256,0.013067370280623436,0.012905871495604515,4.550502490019426e-05
