stage,step,tau,sigma_tau,mse_x1,h0,mse_hole,mse_obs
3,8,0.888,0.044799999999999986,0.24365322291851044,0.1,0.9691237807273865,0.0018296907655894756
3,9,0.999,0.0004000000000000003,0.24365322291851044,0.1,0.9691237807273865,0.0018296907655894756
0,0,0.0,1.0,0.042738597840070724,0.5,0.1475297510623932,0.007808214984834194
0,1,0.111,0.9722500000000001,0.047633927315473557,0.5,0.16712546348571777,0.007803420070558786
0,2,0.222,0.9445,0.047515373677015305,0.5,0.16668112576007843,0.007793446537107229
0,3,0.333,0.9167500000000001,0.062405072152614594,0.5,0.22643281519412994,0.007729147095233202
0,4,0.444,0.889,0.09744184464216232,0.5,0.3665236532688141,0.007747899275273085
0,5,0.555,0.86125,0.17796847224235535,0.5,0.6883065104484558,0.007855799980461597
0,6,0.666,0.8335,0.3250122368335724,0.5,1.2765214443206787,0.00784248486161232
0,7,0.777,0.80575,0.5380637049674988,0.5,2.1288983821868896,0.00778543297201395
0,8,0.888,0.778,0.6990774869918823,0.5,2.772754430770874,0.00785179901868105
0,9,0.999,0.75025,0.8005742430686951,0.5,3.1787874698638916,0.007836516946554184
1,0,0.0,0.8571428571428572,2.7301063537597656,0.5,10.90471363067627,0.005236594006419182
1,1,0.111,0.8175000000000001,2.3552708625793457,0.5,9.405662536621094,0.005140204448252916
1,2,0.222,0.7778571428571429,1.719811201095581,0.5,6.863792896270752,0.005150573793798685
1,3,0.333,0.7382142857142858,1.0460255146026611,0.5,4.168310642242432,0.005263681057840586
1,4,0.444,0.6985714285714286,0.6261385679244995,0.5,2.488863468170166,0.00523022748529911
1,5,0.555,0.6589285714285714,0.5424181222915649,0.5,2.1537840366363525,0.005296194925904274
1,6,0.666,0.6192857142857142,0.5125466585159302,0.5,2.0346128940582275,0.005191272124648094
1,7,0.777,0.5796428571428571,0.4715762734413147,0.5,1.8703441619873047,0.005320269614458084
1,8,0.888,0.54,0.438126802444458,0.5,1.7367783784866333,0.005243020597845316
1,9,0.999,0.5003571428571428,0.4035007953643799,0.5,1.5983473062515259,0.005218604579567909
2,0,0.0,0.6666666666666667,0.785841166973114,0.5,3.124720573425293,0.006214688066393137
2,1,0.111,0.6204166666666668,1.3523577451705933,0.5,5.390718460083008,0.006237258668988943
2,2,0.222,0.5741666666666667,1.8776568174362183,0.5,7.491567134857178,0.00635320320725441
2,3,0.333,0.5279166666666668,1.4867600202560425,0.5,5.92837381362915,0.006222018040716648
2,4,0.444,0.48166666666666674,1.0538872480392456,0.5,4.196975231170654,0.006190994754433632
2,5,0.555,0.4354166666666667,0.6999158263206482,0.5,2.781099319458008,0.006187842693179846
2,6,0.666,0.38916666666666666,0.4819187521934509,0.5,1.9092168807983398,0.006152663845568895
2,7,0.777,0.34291666666666665,0.34274983406066895,0.5,1.3526763916015625,0.006107684224843979
